
Plan name:,FIDELITY RET SAVINGS
Date Range,01/01/2019 - 12/29/2019,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
04/02/2019,FID CHINA REGION,Exchanges,"30,000.00","841.043"
03/29/2019,FIMM MMKT INST,Dividends and Interest,"394.77","394.770"
03/27/2019,FID JAPAN SMALL CO,CONTRIBUTION,"156.54","9.534"
03/27/2019,FID CHINA REGION,CONTRIBUTION,"626.16","18.212"
03/13/2019,FID JAPAN SMALL CO,CONTRIBUTION,"156.54","9.722"
03/13/2019,FID CHINA REGION,CONTRIBUTION,"626.16","18.256"
03/08/2019,FID SEL MED TECH&amp;DV,Exchanges,"27,806.62","534.743"
03/08/2019,FID FREEDOM 2030 K6,Exchanges,"-27,806.62","-1,658.117"
03/08/2019,FID FREEDOM 2030 K6,Change in Market Value,"-1,095.97","0.000"
03/05/2019,FIMM MMKT INST,Exchanges,"-20,000.00","-20,000.000"
03/05/2019,FID SEL ENERGY,Exchanges,"20,000.00","526.177"
02/28/2019,FIMM MMKT INST,Dividends and Interest,"424.47","424.470"
02/27/2019,FID JAPAN SMALL CO,CONTRIBUTION,"156.54","9.546"
02/27/2019,FID CHINA REGION,CONTRIBUTION,"626.16","18.352"
02/22/2019,FIMM MMKT INST,Exchanges,"-20,000.00","-20,000.000"
02/22/2019,FID JAPAN SMALL CO,Exchanges,"11,290.28","691.382"
02/22/2019,FID JAPAN,Exchanges,"-11,290.28","-784.592"
02/22/2019,FID JAPAN,Change in Market Value,"130.10","0.000"
02/22/2019,FID CHINA REGION,Exchanges,"20,000.00","591.016"
02/13/2019,FID JAPAN SMALL CO,CONTRIBUTION,"156.54","9.766"
02/13/2019,FID CHINA REGION,CONTRIBUTION,"626.16","18.958"
01/31/2019,FIMM MMKT INST,Dividends and Interest,"454.70","454.700"
01/30/2019,FID JAPAN SMALL CO,CONTRIBUTION,"156.54","9.920"
01/30/2019,FID CHINA REGION,CONTRIBUTION,"626.16","19.476"
01/16/2019,FIMM MMKT INST,CONTRIBUTION,"18,555.00","18,555.000"
01/16/2019,FID JAPAN SMALL CO,CONTRIBUTION,"156.54","9.978"
01/16/2019,FID CHINA REGION,CONTRIBUTION,"626.16","20.296"
01/02/2019,FID JAPAN SMALL CO,CONTRIBUTION,"313.08","20.570"
01/02/2019,FID CHINA REGION,CONTRIBUTION,"469.62","16.104"
